"","Diptank","approx.date","ras.0","ras.med.1k","ras.var.1k","ras.med.2k","ras.var.2k","ras.med.3k","ras.var.3k","ras.med.4k","ras.var.4k"
"223","Madlakude","2017-03-22","15123","15123",NA,"15123",NA,"15123",NA,"15133","200"
"224","Madlakude","2017-03-30","15176","15176",NA,"15176",NA,"15176",NA,"15200","1152"
"225","Madlakude","2017-04-07","15096","15096",NA,"15096",NA,"15096",NA,"15133.5","2812.5"
"226","Madlakude","2017-04-15","15100","15100",NA,"15100",NA,"15100",NA,"15110","200"
"227","Madlakude","2017-04-23","15046","15046",NA,"15046",NA,"15046",NA,"15048","8"
"228","Madlakude","2017-05-01","14888","14888",NA,"14888",NA,"14888",NA,"14886.5","4.5"
"229","Madlakude","2017-05-09","14897","14897",NA,"14897",NA,"14897",NA,"14877.5","760.5"
"230","Madlakude","2017-05-17","14880","14880",NA,"14880",NA,"14880",NA,"14879.5","0.5"
"231","Madlakude","2017-05-25","14801","14801",NA,"14801",NA,"14801",NA,"14795","72"
"232","Madlakude","2017-06-02","14899","14899",NA,"14899",NA,"14899",NA,"14883","512"
"233","Madlakude","2017-06-10","14842","14842",NA,"14842",NA,"14842",NA,"14849.5","112.5"
"234","Madlakude","2017-06-18","14830","14830",NA,"14830",NA,"14830",NA,"14825","50"
"235","Madlakude","2017-06-26","14791","14791",NA,"14791",NA,"14791",NA,"14808","578"
"236","Madlakude","2017-07-04","14932","14932",NA,"14932",NA,"14932",NA,"14928","32"
"237","Madlakude","2017-07-12","14913","14913",NA,"14913",NA,"14913",NA,"14891","968"
"238","Madlakude","2017-07-20","14935","14935",NA,"14935",NA,"14935",NA,"14928","98"
"239","Madlakude","2017-07-28","14856","14856",NA,"14856",NA,"14856",NA,"14884","1568"
"240","Madlakude","2017-08-05","14921","14921",NA,"14921",NA,"14921",NA,"14943","968"
"241","Madlakude","2017-08-13","14934","14934",NA,"14934",NA,"14934",NA,"14934.5","0.5"
"242","Madlakude","2017-08-21","15017","15017",NA,"15017",NA,"15017",NA,"15023.5","84.5"
"243","Madlakude","2017-08-29","14855","14855",NA,"14855",NA,"14855",NA,"14865.5","220.5"
"244","Madlakude","2017-09-06","15197","15197",NA,"15197",NA,"15197",NA,"15228.5","1984.5"
"245","Madlakude","2017-09-14","15002","15002",NA,"15002",NA,"15002",NA,"15006","32"
"246","Madlakude","2017-09-22","14885","14885",NA,"14885",NA,"14885",NA,"14942.5","6612.5"
"247","Madlakude","2017-09-30","15193","15193",NA,"15193",NA,"15193",NA,"15205","288"
"248","Madlakude","2017-10-08","15214","15214",NA,"15214",NA,"15214",NA,"15218.5","40.5"
"249","Madlakude","2017-10-16","15281","15281",NA,"15281",NA,"15281",NA,"15265.5","480.5"
"250","Madlakude","2017-10-24","15397","15397",NA,"15397",NA,"15397",NA,"15397","0"
"251","Madlakude","2017-11-01","15466","15466",NA,"15466",NA,"15466",NA,"15473","98"
"252","Madlakude","2017-11-09","15359","15359",NA,"15359",NA,"15359",NA,"15257","20808"
"253","Madlakude","2017-11-17","15413","15413",NA,"15413",NA,"15413",NA,"15401.5","264.5"
"254","Madlakude","2017-11-25","15530","15530",NA,"15530",NA,"15530",NA,"15527.5","12.5"
"255","Madlakude","2017-12-03","15381","15381",NA,"15381",NA,"15381",NA,"15393","288"
"256","Madlakude","2017-12-11","15157","15157",NA,"15157",NA,"15157",NA,"15124","2178"
"257","Madlakude","2017-12-19","15205","15205",NA,"15205",NA,"15205",NA,"15203","8"
"258","Madlakude","2017-12-27","15105","15105",NA,"15105",NA,"15105",NA,"15106","2"
"259","Madlakude","2018-01-01","15294","15294",NA,"15294",NA,"15294",NA,"15263.5","1860.5"
"260","Madlakude","2018-01-09","15377","15377",NA,"15377",NA,"15377",NA,"15356.5","840.5"
